PS_SMILES,SD
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CC(C)O,20.51
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CC(C)O,2.28
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CC(C)O,1.61
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CC(C)O,2.22
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CC(C)O,5.22
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CC(C)O,1.12
C/C(C)=C(C)\[Si](C)(C)C.CCO,15.13
C[Si](C)(C)OC.CCO,3.6
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCO,12.29
CCC(C)C#N.CCO,0.33
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CCO,2.76
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CCO,2.28
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CCO,6.3
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCO,1.25
C/C(C)=C(C)\[Si](C)(C)C.CO,2.57
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CO,11.47
CCC(C)C#N.CO,2.91
COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2.CO,3.29
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.CO,2.63
Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7.CO,2.5
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.CO,8.01
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CO,2.28
C/C(C)=C(C)\[Si](C)(C)C.O,0.03
C[Si](C)(C)OC.O,0.86
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.O,0.3
COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4.O,0.96
Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C.O,0.99
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.O,0.2
